,x,y
0,6372.820095987463,-5425.827403841416
1,798.3223327678891,226.64693874179795
2,819.50291590816,234.5420262379946
3,829.1845811697276,251.6801299500654
4,937.6632971993679,219.86591599328614
5,8291.190746141901,-2432.9026417246514
6,1104.8335794827008,236.3442545398734
7,1059.8591107034729,287.92831929745967
8,1001.530842083354,327.374086641122
9,985.0,360.0
10,946.0,360.0
11,934.8020089715503,333.3959494373887
12,943.5601082081447,307.89183648736525
13,953.1103529155823,276.70590118694173
14,949.0536225267876,247.18662134715652
15,964.8058470959668,207.08773204130614
16,1127.7143789788392,80.75336253181996
17,916.2213820139266,166.9436659461378
18,816.6785452627169,211.18571424809338
19,793.4382788121875,205.1429866129615
20,776.7032280148803,197.96226535059293
21,761.0127170612884,187.15057908848937
22,755.9340541587724,157.89038843659404
23,784.6376748883233,53.404267800578054
24,745.4992441190265,71.69649761004626
25,2740.4463650111265,-7510.542615837331
26,2024.3823789224632,-7666.488050756008
27,1378.6110528862666,-7752.4453596036155
28,646.4860810589224,-7784.997417479793
29,-85.68980636439471,-7753.611421860108
30,-811.814123265113,-7654.565537288217
31,-1447.9086584214,-7513.877915874042
32,525.0377172132983,44.279120841730844
33,498.4021222513153,58.60484241270808
34,490.1509483627883,97.79919579942498
35,486.6464950115469,140.21214203747175
36,502.9114068140159,196.979395111269
37,512.2373398548183,233.2060621613683
38,507.0961548384673,247.6943102898195
39,504.90879111923203,265.2615955214955
40,503.0097780115632,281.2746604989295
41,495.58019404886016,293.4874474325702
42,485.09380829483354,303.1750779023657
43,473.85155826754834,315.51747185828896
44,450.8196989136863,327.21564884138013
45,429.8844435222581,340.70096048895573
46,404.0002993123007,359.6241339117091
47,372.0003398970194,359.5731690183815
48,352.2113942082113,333.56671839482567
49,371.0092593928977,313.38475069633733
50,405.26702708729215,297.15549803235007
51,440.9690142939679,286.98858494122135
52,459.24816739448534,276.7547298055439
53,483.9351901397556,270.31290436586903
54,501.6338527221225,262.9649069280772
55,513.2066764550896,252.85779027649446
56,522.8842282002502,243.77222364792095
57,533.8046109122658,233.71643283267318
58,539.8624501008236,216.48180916625955
59,549.6936178875083,201.9849458128985
60,543.9005394258176,155.44953268850458
61,541.8030501196922,90.32174905231176
62,560.543618449468,60.35573853167779
63,580.1093253017707,29.38072185035719
64,609.2655311569216,16.37172347879482
65,646.4868773856332,-7785.997417162725
66,1378.5203812618024,-7751.449478759078
67,2024.5523460653635,-7667.473500485997
68,2740.4463650111265,-7510.542615837331
69,3439.3382494905195,-7289.903356575124
70,4115.144135591132,-7006.437282490537
71,4692.716185078116,-6705.162172463268
72,5311.893806546233,-6313.134515379932
73,5892.75705381705,-5866.223521009764
74,812.4421023347978,185.96344825768608
75,812.08949213901,215.0510203715195
76,817.0439718546236,236.26062861829604
77,836.1271346071488,247.7050888473155
78,8009.202296926602,-3109.276942962567
79,1136.9281650962635,178.60705985606623
80,1013.9929215380566,260.50982641773595
81,994.8105160874419,299.0943543358814
82,984.5996456221501,328.9020219774882
83,940.0,360.0
84,888.0,360.0
85,951.7332054327542,331.86801410102254
86,965.242973080155,304.1698248078913
87,963.740642675062,273.87801511612804
88,959.3867223681088,243.41474546514655
89,992.8531486557857,193.88360862426015
90,1078.2486857372132,109.07553038891294
91,1049.8240089227397,73.56626994975937
92,821.2675983864237,207.32040812466724
93,781.4729084460994,217.21899224406084
94,782.5066669400403,191.08330491736336
95,762.7332770195057,184.69300438358638
96,770.8611855955241,131.86769166877355
97,692.4791563754094,248.7573007064044
98,661.649682017911,300.83674055189874
99,2740.4463650111265,-7510.542615837331
100,2024.3823789224632,-7666.488050756008
101,1378.6110528862666,-7752.4453596036155
102,646.4868773856332,-7785.997417162725
103,-85.68980636439471,-7753.611421860108
104,-811.9923693207625,-7655.54952323509
105,-1447.6523475131726,-7512.911321482208
106,-2146.8089086240657,-7293.412383166971
107,494.1499337303338,49.55393677945608
108,491.63951510090635,100.40383954976181
109,484.3576367281372,136.93172624698624
110,499.04975630173465,192.38726539609348
111,507.9785845166456,228.97959756674723
112,506.3323396363895,247.0488752914851
113,498.35891432501296,260.66821833465895
114,493.4724840756594,275.79378243239927
115,485.5888867189071,288.885950085138
116,480.39968127346486,301.4531105660737
117,464.1917651435686,312.9312783616778
118,439.98124416394955,325.3373787229175
119,420.9221686014065,339.87777870886384
120,392.0003145315702,359.6050220767113
121,353.00036399419616,359.5429086129683
122,355.19881918182847,333.841112321523
123,373.9652015973714,313.89700618319074
124,399.47115121290426,295.6037819343834
125,428.76428403840936,282.5114698668623
126,453.79836339632914,274.2448221614899
127,479.60005653252654,267.8215961538099
128,500.8151181228451,262.39073477972266
129,513.2066764550896,252.85779027649446
130,521.4646430875259,242.3634021163806
131,530.5865688186981,229.8896580700269
132,542.7235229550857,220.58232890436642
133,549.1974289748022,201.11673122945288
134,545.1761959821121,158.16480437848017
135,548.6460431427101,109.11465852601825
136,560.2873075412405,59.38914413984446
137,580.1093253017707,29.38072185035719
138,608.9091894891758,12.38762751912867
139,646.4868773856332,-7785.997417162725
140,1378.5203812618024,-7751.449478759078
141,2024.5523460653635,-7667.473500485997
142,2740.4463650111265,-7510.542615837331
143,3439.3382494905195,-7289.903356575124
144,4115.570795399062,-7007.341694679915
145,4692.716185078116,-6705.162172463268
146,5311.893806546233,-6313.134515379932
147,5892.75705381705,-5866.223521009764
148,793.4382788121875,205.1429866129615
149,793.7332796441822,230.51224486522412
150,810.4867877118597,240.8435682990999
151,826.5811236306947,253.1707703635966
152,1044.4239934593236,169.60505911549816
153,8291.190746141901,-2432.9026417246514
154,1060.3796404885134,248.16995992691253
155,1013.5366266587235,295.8798897036085
156,1005.5146530154019,327.01457244432993
157,956.0,360.0
158,951.0,360.0
159,949.7412999667301,332.04777119941855
160,936.6610148397779,309.0761129308342
161,938.6145032435645,280.56210946532406
162,948.1142498139402,247.52951915461196
163,979.2818737074863,200.27270060025015
164,7708.387218474459,-3687.088722737236
165,7316.033105351431,-4306.00546251842
166,825.8566515101307,203.45510200124107
167,796.2536600747965,202.30157352329107
168,778.6377076566002,195.6692785395164
169,760.4391970752159,187.96977065679036
170,759.9146225419062,150.9510026318419
171,4115.144135591132,-7006.437282490537
172,747.9047643432388,65.12280211581276
173,2740.188514978594,-7509.576430885719
174,2024.5523460653635,-7667.473500485997
175,1378.6110528862666,-7752.4453596036155
176,640.7469544546678,-577.9997025900609
177,-85.68980636439471,-7753.611421860108
178,-811.9923693207625,-7655.54952323509
179,-1447.9086584214,-7513.877915874042
180,535.986506050127,74.34777599966122
181,503.50474847649315,69.46592917261046
182,490.64713727549434,98.66741038287057
183,490.65199700751396,145.95286967082137
184,499.69336472044813,193.15262034862275
185,504.429621734835,225.45754373789634
186,501.7494484239229,243.1762653014789
187,496.7214451264582,259.51987403794976
188,493.4724840756594,275.79378243239927
189,485.5888867189071,288.885950085138
190,479.4608558691911,301.1087170988153
191,465.15774445596657,313.1898977113389
192,440.96655823210745,325.50813055186865
193,416.9389353032503,339.5119201399341
194,396.0003094584804,359.61139268837724
195,372.0003398970194,359.5731690183815
196,359.18205247998475,334.20697089045274
197,371.9945734610556,313.5555025252885
198,398.5051719005063,295.3451625847223
199,428.76428403840936,282.5114698668623
200,460.1564680608447,277.17304774621954
201,478.73302981108077,267.323334511398
202,499.17764892429034,261.24239048301354
203,508.62378524262283,248.98518028648823
204,522.174435643888,243.06781288215075
205,526.7249183064168,225.29752835485138
